"zip","city","county","pop"
"91360","Thousand Oaks","Ventura","43342"
"92618","Irvine","Orange","43316"
"93726","Fresno","Fresno","43209"
"95678","Roseville","Placer","43132"
"94066","San Bruno","San Mateo","43124"
"94605","Oakland","Alameda","43112"
"94521","Concord","Contra Costa","43103"
"90806","Long Beach","Los Angeles","42817"
"94025","Menlo Park","San Mateo","42788"
"94010","Burlingame","San Mateo","42730"
"95380","Turlock","Stanislaus","42672"
"90242","Downey","Los Angeles","42553"
"95831","Sacramento","Sacramento","42514"
"95762","El Dorado Hills","El Dorado","42494"
"95407","Santa Rosa","Sonoma","42483"
"94901","San Rafael","Marin","42482"
"94134","San Francisco","San Francisco","42471"
"90275","Rancho Palos Verdes","Los Angeles","42421"
"92019","El Cajon","San Diego","42400"
"90501","Torrance","Los Angeles","42335"
"92545","Hemet","Riverside","42248"
"92802","Anaheim","Orange","42248"
"92054","Oceanside","San Diego","42173"
"90604","Whittier","Los Angeles","42063"
"94561","Oakley","Contra Costa","41911"
"95132","San Jose","Santa Clara","41844"
"92308","Apple Valley","San Bernardino","41807"
"95621","Citrus Heights","Sacramento","41757"
"90007","Los Angeles","Los Angeles","41716"
"91016","Monrovia","Los Angeles","41671"
"94804","Richmond","Contra Costa","41510"
"94118","San Francisco","San Francisco","41468"
"91401","Van Nuys","Los Angeles","41412"
"95833","Sacramento","Sacramento","41209"
"90045","Los Angeles","Los Angeles","41149"
"95628","Fair Oaks","Sacramento","41121"
"95210","Stockton","San Joaquin","41117"
"92591","Temecula","Riverside","41107"
"94578","San Leandro","Alameda","41059"
"93292","Visalia","Tulare","41031"
"90815","Long Beach","Los Angeles","41026"
"90605","Whittier","Los Angeles","40957"
"93706","Fresno","Fresno","40936"
"95695","Woodland","Yolo","40857"
"93635","Los Banos","Merced","40759"
"95991","Yuba City","Sutter","40684"
"90278","Redondo Beach","Los Angeles","40649"
"93454","Santa Maria","Santa Barbara","40604"
"95404","Santa Rosa","Sonoma","40474"
"91311","Chatsworth","Los Angeles","40420"
"92253","La Quinta","Riverside","40368"
"93552","Palmdale","Los Angeles","40266"
"91942","La Mesa","San Diego","40205"
"95835","Sacramento","Sacramento","40101"
"91701","Rancho Cucamonga","San Bernardino","40034"
"92231","Calexico","Imperial","40019"
"95129","San Jose","Santa Clara","39828"
"91739","Rancho Cucamonga","San Bernardino","39803"
"92037","La Jolla","San Diego","39724"
"92806","Anaheim","Orange","39719"
"94061","Redwood City","San Mateo","39624"
"90005","Los Angeles","Los Angeles","39479"
"90802","Long Beach","Los Angeles","39453"
"95050","Santa Clara","Santa Clara","39452"
"94611","Oakland","Alameda","39384"
"93637","Madera","Madera","39381"
"90804","Long Beach","Los Angeles","39344"
"92101","San Diego","San Diego","39313"
"92307","Apple Valley","San Bernardino","39273"
"92508","Riverside","Riverside","39225"
"95838","Sacramento","Sacramento","39187"
"90020","Los Angeles","Los Angeles","39102"
"93534","Lancaster","Los Angeles","39088"
"94044","Pacifica","San Mateo","39065"
"92083","Vista","San Diego","39043"
"95926","Chico","Butte","39012"
"95401","Santa Rosa","Sonoma","38986"
"92337","Fontana","San Bernardino","38868"
"90808","Long Beach","Los Angeles","38860"
"93305","Bakersfield","Kern","38725"
"95301","Atwater","Merced","38707"
"93245","Lemoore","Kings","38606"
"90810","Long Beach","Los Angeles","38579"
"94520","Concord","Contra Costa","38568"
"95205","Stockton","San Joaquin","38544"
"90031","Los Angeles","Los Angeles","38535"
"94954","Petaluma","Sonoma","38414"
"91776","San Gabriel","Los Angeles","38410"
"91763","Montclair","San Bernardino","38406"
"94555","Fremont","Alameda","38388"
"93711","Fresno","Fresno","38349"
"95382","Turlock","Stanislaus","38343"
"94606","Oakland","Alameda","38303"
"95826","Sacramento","Sacramento","38256"
"95121","San Jose","Santa Clara","38102"
"93021","Moorpark","Ventura","38063"
"95062","Santa Cruz","Santa Cruz","38028"
"90036","Los Angeles","Los Angeles","37988"
"91104","Pasadena","Los Angeles","37974"
"95691","West Sacramento","Yolo","37906"
"90029","Los Angeles","Los Angeles","37898"
"95765","Rocklin","Placer","37878"
"95120","San Jose","Santa Clara","37774"
"91001","Altadena","Los Angeles","37711"
"93705","Fresno","Fresno","37707"
"95337","Manteca","San Joaquin","37706"
"95128","San Jose","Santa Clara","37665"
"90505","Torrance","Los Angeles","37641"
"91205","Glendale","Los Angeles","37618"
"92543","Hemet","Riverside","37615"
"95928","Chico","Butte","37558"
"92821","Brea","Orange","37529"
"92675","San Juan Capistrano","Orange","37457"
"94590","Vallejo","Solano","37377"
"92831","Fullerton","Orange","37353"
"91350","Santa Clarita","Los Angeles","37350"
"90301","Inglewood","Los Angeles","37291"
"95688","Vacaville","Solano","37227"
"91601","North Hollywood","Los Angeles","37085"
"92139","San Diego","San Diego","37040"
"91326","Northridge","Los Angeles","37035"
